UF;Municipio;Codigo_TOM_SERPRO;cod_IBGE
RS;ACEGUA;1118;4300034
RS;AGUA SANTA;8499;4300059
RS;AGUDO;8501;4300109
RS;AJURICABA;8503;4300208
RS;ALECRIM;8505;4300307
RS;ALEGRETE;8507;4300406
RS;ALEGRIA;8497;4300455
RS;ALMIRANTE TAMANDARE DO SUL;1120;4300471
RS;ALPESTRE;8509;4300505
RS;ALTO ALEGRE;8495;4300554
RS;ALTO FELIZ;6045;4300570
RS;ALVORADA;8511;4300604
RS;AMARAL FERRADOR;8493;4300638
RS;AMETISTA DO SUL;5969;4300646
RS;ANDRE DA ROCHA;8491;4300661
RS;ANTA GORDA;8513;4300703
RS;ANTONIO PRADO;8515;4300802
RS;ARAMBARE;5779;4300851
RS;ARARICA;0952;4300877
RS;ARATIBA;8517;4300901
RS;ARROIO DO MEIO;8519;4301008
RS;ARROIO DO PADRE;1122;4301073
RS;ARROIO DO SAL;8489;4301057
RS;ARROIO DO TIGRE;8523;4301206
RS;ARROIO DOS RATOS;8521;4301107
RS;ARROIO GRANDE;8525;4301305
RS;ARVOREZINHA;8527;4301404
RS;AUGUSTO PESTANA;8529;4301503
RS;AUREA;8487;4301552
RS;BAGE;8531;4301602
RS;BALNEARIO PINHAL;0954;4301636
RS;BARAO;8485;4301651
RS;BARAO DE COTEGIPE;8533;4301701
RS;BARAO DO TRIUNFO;5771;4301750
RS;BARRA DO GUARITA;6069;4301859
RS;BARRA DO QUARAI;0956;4301875
RS;BARRA DO RIBEIRO;8537;4301909
RS;BARRA DO RIO AZUL;5959;4301925
RS;BARRA FUNDA;5943;4301958
RS;BARRACAO;8535;4301800
RS;BARROS CASSAL;8539;4302006
RS;BENJAMIN CONSTANT DO SUL;0958;4302055
RS;BENTO GONCALVES;8541;4302105
RS;BOA VISTA DAS MISSOES;5981;4302154
RS;BOA VISTA DO BURICA;8543;4302204
RS;BOA VISTA DO CADEADO;1124;4302220
RS;BOA VISTA DO INCRA;1126;4302238
RS;BOA VISTA DO SUL;0960;4302253
RS;BOM JESUS;8545;4302303
RS;BOM PRINCIPIO;9823;4302352
RS;BOM PROGRESSO;6071;4302378
RS;BOM RETIRO DO SUL;8547;4302402
RS;BOQUEIRAO DO LEAO;8483;4302451
RS;BOSSOROCA;8549;4302501
RS;BOZANO;1128;4302584
RS;BRAGA;8551;4302600
RS;BROCHIER;8449;4302659
RS;BUTIA;8553;4302709
RS;CACAPAVA DO SUL;8555;4302808
RS;CACEQUI;8557;4302907
RS;CACHOEIRA DO SUL;8559;4303004
RS;CACHOEIRINHA;8561;4303103
RS;CACIQUE DOBLE;8563;4303202
RS;CAIBATE;8565;4303301
RS;CAICARA;8567;4303400
RS;CAMAQUA;8569;4303509
RS;CAMARGO;8447;4303558
RS;CAMBARA DO SUL;8571;4303608
RS;CAMPESTRE DA SERRA;6013;4303673
RS;CAMPINA DAS MISSOES;8573;4303707
RS;CAMPINAS DO SUL;8575;4303806
RS;CAMPO BOM;8577;4303905
RS;CAMPO NOVO;8579;4304002
RS;CAMPOS BORGES;8445;4304101
RS;CANDELARIA;8581;4304200
RS;CANDIDO GODOI;8583;4304309
RS;CANDIOTA;6083;4304358
RS;CANELA;8585;4304408
RS;CANGUCU;8587;4304507
RS;CANOAS;8589;4304606
RS;CANUDOS DO VALE;1130;4304614
RS;CAPAO BONITO DO SUL;1132;4304622
RS;CAPAO DA CANOA;8915;4304630
RS;CAPAO DO CIPO;1134;4304655
RS;CAPAO DO LEAO;8973;4304663
RS;CAPELA DE SANTANA;8443;4304689
RS;CAPITAO;6025;4304697
RS;CAPIVARI DO SUL;0962;4304671
RS;CARAA;0964;4304713
RS;CARAZINHO;8591;4304705
RS;CARLOS BARBOSA;8593;4304804
RS;CARLOS GOMES;5961;4304853
RS;CASCA;8595;4304903
RS;CASEIROS;8441;4304952
RS;CATUIPE;8597;4305009
RS;CAXIAS DO SUL;8599;4305108
RS;CENTENARIO;5963;4305116
RS;CERRITO;0966;4305124
RS;CERRO BRANCO;8439;4305132
RS;CERRO GRANDE;8437;4305157
RS;CERRO GRANDE DO SUL;8435;4305173
RS;CERRO LARGO;8601;4305207
RS;CHAPADA;8603;4305306
RS;CHARQUEADAS;8693;4305355
RS;CHARRUA;5965;4305371
RS;CHIAPETTA;8605;4305405
RS;CHUI;0968;4305439
RS;CHUVISCA;0970;4305447
RS;CIDREIRA;8433;4305454
RS;CIRIACO;8607;4305504
RS;COLINAS;6029;4305587
RS;COLORADO;8609;4305603
RS;CONDOR;8611;4305702
RS;CONSTANTINA;8613;4305801
RS;COQUEIRO BAIXO;1136;4305835
RS;COQUEIROS DO SUL;5945;4305850
RS;CORONEL BARROS;6055;4305871
RS;CORONEL BICACO;8615;4305900
RS;CORONEL PILAR;1138;4305934
RS;COTIPORA;8977;4305959
RS;COXILHA;5797;4305975
RS;CRISSIUMAL;8617;4306007
RS;CRISTAL;8431;4306056
RS;CRISTAL DO SUL;0972;4306072
RS;CRUZ ALTA;8619;4306106
RS;CRUZALTENSE;1140;4306130
RS;CRUZEIRO DO SUL;8621;4306205
RS;DAVID CANABARRO;8623;4306304
RS;DERRUBADAS;6073;4306320
RS;DEZESSEIS DE NOVEMBRO;8429;4306353
RS;DILERMANDO DE AGUIAR;0974;4306379
RS;DOIS IRMAOS;8625;4306403
RS;DOIS IRMAOS DAS MISSOES;5971;4306429
RS;DOIS LAJEADOS;8427;4306452
RS;DOM FELICIANO;8627;4306502
RS;DOM PEDRITO;8629;4306601
RS;DOM PEDRO DE ALCANTARA;0976;4306551
RS;DONA FRANCISCA;8631;4306700
RS;DOUTOR MAURICIO CARDOSO;8425;4306734
RS;DOUTOR RICARDO;0978;4306759
RS;ELDORADO DO SUL;8423;4306767
RS;ENCANTADO;8633;4306809
RS;ENCRUZILHADA DO SUL;8635;4306908
RS;ENGENHO VELHO;5947;4306924
RS;ENTRE IJUIS;8419;4306932
RS;ENTRE RIOS DO SUL;8421;4306957
RS;EREBANGO;8417;4306973
RS;ERECHIM;8637;4307005
RS;ERNESTINA;8415;4307054
RS;ERVAL GRANDE;8641;4307203
RS;ERVAL SECO;8643;4307302
RS;ESMERALDA;8645;4307401
RS;ESPERANCA DO SUL;0980;4307450
RS;ESPUMOSO;8647;4307500
RS;ESTACAO;7301;4307559
RS;ESTANCIA VELHA;8649;4307609
RS;ESTEIO;8651;4307708
RS;ESTRELA;8653;4307807
RS;ESTRELA VELHA;0982;4307815
RS;EUGENIO DE CASTRO;8413;4307831
RS;FAGUNDES VARELA;8411;4307864
RS;FARROUPILHA;8655;4307906
RS;FAXINAL DO SOTURNO;8657;4308003
RS;FAXINALZINHO;8409;4308052
RS;FAZENDA VILANOVA;0984;4308078
RS;FELIZ;8659;4308102
RS;FLORES DA CUNHA;8661;4308201
RS;FLORIANO PEIXOTO;0986;4308250
RS;FONTOURA XAVIER;8663;4308300
RS;FORMIGUEIRO;8665;4308409
RS;FORQUETINHA;1142;4308433
RS;FORTALEZA DOS VALOS;9827;4308458
RS;FREDERICO WESTPHALEN;8667;4308508
RS;GARIBALDI;8669;4308607
RS;GARRUCHOS;6081;4308656
RS;GAURAMA;8671;4308706
RS;GENERAL CAMARA;8673;4308805
RS;GENTIL;5799;4308854
RS;GETULIO VARGAS;8677;4308904
RS;GIRUA;8679;4309001
RS;GLORINHA;8407;4309050
RS;GRAMADO;8681;4309100
RS;GRAMADO DOS LOUREIROS;5949;4309126
RS;GRAMADO XAVIER;5763;4309159
RS;GRAVATAI;8683;4309209
RS;GUABIJU;8405;4309258
RS;GUAIBA;8685;4309308
RS;GUAPORE;8687;4309407
RS;GUARANI DAS MISSOES;8689;4309506
RS;HARMONIA;8403;4309555
RS;HERVAL;8639;4307104
RS;HERVEIRAS;0988;4309571
RS;HORIZONTINA;8691;4309605
RS;HULHA NEGRA;6085;4309654
RS;HUMAITA;8695;4309704
RS;IBARAMA;8401;4309753
RS;IBIACA;8697;4309803
RS;IBIRAIARAS;8699;4309902
RS;IBIRAPUITA;7299;4309951
RS;IBIRUBA;8701;4310009
RS;IGREJINHA;8703;4310108
RS;IJUI;8705;4310207
RS;ILOPOLIS;8707;4310306
RS;IMBE;7297;4310330
RS;IMIGRANTE;7295;4310363
RS;INDEPENDENCIA;8709;4310405
RS;INHACORA;6051;4310413
RS;IPE;8399;4310439
RS;IPIRANGA DO SUL;7399;4310462
RS;IRAI;8711;4310504
RS;ITAARA;0990;4310538
RS;ITACURUBI;7397;4310553
RS;ITAPUCA;6027;4310579
RS;ITAQUI;8713;4310603
RS;ITATI;1144;4310652
RS;ITATIBA DO SUL;8715;4310702
RS;IVORA;7395;4310751
RS;IVOTI;8717;4310801
RS;JABOTICABA;7393;4310850
RS;JACUIZINHO;1146;4310876
RS;JACUTINGA;8719;4310900
RS;JAGUARAO;8721;4311007
RS;JAGUARI;8723;4311106
RS;JAQUIRANA;7391;4311122
RS;JARI;0992;4311130
RS;JOIA;9829;4311155
RS;JULIO DE CASTILHOS;8725;4311205
RS;LAGOA BONITA DO SUL;1148;4311239
RS;LAGOA DOS TRES CANTOS;5951;4311270
RS;LAGOA VERMELHA;8727;4311304
RS;LAGOAO;7389;4311254
RS;LAJEADO;8729;4311403
RS;LAJEADO DO BUGRE;5983;4311429
RS;LAVRAS DO SUL;8731;4311502
RS;LIBERATO SALZANO;8733;4311601
RS;LINDOLFO COLLOR;6017;4311627
RS;LINHA NOVA;6047;4311643
RS;MACAMBARA;0994;4311718
RS;MACHADINHO;8735;4311700
RS;MAMPITUBA;0996;4311734
RS;MANOEL VIANA;6079;4311759
RS;MAQUINE;5783;4311775
RS;MARATA;6039;4311791
RS;MARAU;8737;4311809
RS;MARCELINO RAMOS;8739;4311908
RS;MARIANA PIMENTEL;5759;4311981
RS;MARIANO MORO;8741;4312005
RS;MARQUES DE SOUZA;0998;4312054
RS;MATA;8743;4312104
RS;MATO CASTELHANO;5931;4312138
RS;MATO LEITAO;6031;4312153
RS;MATO QUEIMADO;1150;4312179
RS;MAXIMILIANO DE ALMEIDA;8745;4312203
RS;MINAS DO LEAO;5773;4312252
RS;MIRAGUAI;8747;4312302
RS;MONTAURI;7387;4312351
RS;MONTE ALEGRE DOS CAMPOS;1000;4312377
RS;MONTE BELO DO SUL;5993;4312385
RS;MONTENEGRO;8749;4312401
RS;MORMACO;5933;4312427
RS;MORRINHOS DO SUL;5775;4312443
RS;MORRO REDONDO;7385;4312450
RS;MORRO REUTER;6019;4312476
RS;MOSTARDAS;8751;4312500
RS;MUCUM;8753;4312609
RS;MUITOS CAPOES;1002;4312617
RS;MULITERNO;5935;4312625
RS;NAO-ME-TOQUE;8755;4312658
RS;NICOLAU VERGUEIRO;5937;4312674
RS;NONOAI;8757;4312708
RS;NOVA ALVORADA;7383;4312757
RS;NOVA ARACA;8759;4312807
RS;NOVA BASSANO;8761;4312906
RS;NOVA BOA VISTA;5953;4312955
RS;NOVA BRESCIA;8763;4313003
RS;NOVA CANDELARIA;1004;4313011
RS;NOVA ESPERANCA DO SUL;7381;4313037
RS;NOVA HARTZ;7379;4313060
RS;NOVA PADUA;5991;4313086
RS;NOVA PALMA;8765;4313102
RS;NOVA PETROPOLIS;8767;4313201
RS;NOVA PRATA;8769;4313300
RS;NOVA RAMADA;1006;4313334
RS;NOVA ROMA DO SUL;7377;4313359
RS;NOVA SANTA RITA;5757;4313375
RS;NOVO BARREIRO;5985;4313490
RS;NOVO CABRAIS;1008;4313391
RS;NOVO HAMBURGO;8771;4313409
RS;NOVO MACHADO;6057;4313425
RS;NOVO TIRADENTES;5973;4313441
RS;NOVO XINGU;1152;4313466
RS;OSORIO;8773;4313508
RS;PAIM FILHO;8775;4313607
RS;PALMARES DO SUL;8967;4313656
RS;PALMEIRA DAS MISSOES;8777;4313706
RS;PALMITINHO;8779;4313805
RS;PANAMBI;8781;4313904
RS;PANTANO GRANDE;7375;4313953
RS;PARAI;8783;4314001
RS;PARAISO DO SUL;7373;4314027
RS;PARECI NOVO;6041;4314035
RS;PAROBE;9825;4314050
RS;PASSA SETE;1010;4314068
RS;PASSO DO SOBRADO;5765;4314076
RS;PASSO FUNDO;8785;4314100
RS;PAULO BENTO;1154;4314134
RS;PAVERAMA;7371;4314159
RS;PEDRAS ALTAS;1156;4314175
RS;PEDRO OSORIO;8787;4314209
RS;PEJUCARA;8789;4314308
RS;PELOTAS;8791;4314407
RS;PICADA CAFE;6021;4314423
RS;PINHAL;7369;4314456
RS;PINHAL DA SERRA;1158;4314464
RS;PINHAL GRANDE;5787;4314472
RS;PINHEIRINHO DO VALE;5975;4314498
RS;PINHEIRO MACHADO;8793;4314506
RS;PINTO BANDEIRA;1160;4314548
RS;PIRAPO;7367;4314555
RS;PIRATINI;8795;4314605
RS;PLANALTO;8797;4314704
RS;POCO DAS ANTAS;7365;4314753
RS;PONTAO;5939;4314779
RS;PONTE PRETA;5967;4314787
RS;PORTAO;8799;4314803
RS;PORTO ALEGRE;8801;4314902
RS;PORTO LUCENA;8803;4315008
RS;PORTO MAUA;6065;4315057
RS;PORTO VERA CRUZ;6067;4315073
RS;PORTO XAVIER;8805;4315107
RS;POUSO NOVO;7363;4315131
RS;PRESIDENTE LUCENA;6023;4315149
RS;PROGRESSO;7361;4315156
RS;PROTASIO ALVES;7359;4315172
RS;PUTINGA;8807;4315206
RS;QUARAI;8809;4315305
RS;QUATRO IRMAOS;1162;4315313
RS;QUEVEDOS;5789;4315321
RS;QUINZE DE NOVEMBRO;7357;4315354
RS;REDENTORA;8811;4315404
RS;RELVADO;7355;4315453
RS;RESTINGA SECA;8813;4315503
RS;RIO DOS INDIOS;5955;4315602
RS;RIO GRANDE;8815;4315701
RS;RIO PARDO;8817;4315552
RS;RIOZINHO;7353;4315750
RS;ROCA SALES;8819;4315800
RS;RODEIO BONITO;8821;4315909
RS;ROLADOR;1164;4315958
RS;ROLANTE;8823;4316006
RS;RONDA ALTA;8825;4316105
RS;RONDINHA;8827;4316204
RS;ROQUE GONZALES;8829;4316303
RS;ROSARIO DO SUL;8831;4316402
RS;SAGRADA FAMILIA;5987;4316428
RS;SALDANHA MARINHO;7339;4316436
RS;SALTO DO JACUI;8975;4316451
RS;SALVADOR DAS MISSOES;6061;4316477
RS;SALVADOR DO SUL;8833;4316501
RS;SANANDUVA;8835;4316600
RS;SANTA BARBARA DO SUL;8837;4316709
RS;SANTA CECILIA DO SUL;1166;4316733
RS;SANTA CLARA DO SUL;6033;4316758
RS;SANTA CRUZ DO SUL;8839;4316808
RS;SANTA MARGARIDA DO SUL;1168;4316972
RS;SANTA MARIA;8841;4316907
RS;SANTA MARIA DO HERVAL;7337;4316956
RS;SANTA ROSA;8847;4317202
RS;SANTA TEREZA;5995;4317251
RS;SANTA VITORIA DO PALMAR;8849;4317301
RS;SANTANA DA BOA VISTA;8843;4317004
RS;SANTANA DO LIVRAMENTO;8845;4317103
RS;SANTIAGO;8851;4317400
RS;SANTO ANGELO;8853;4317509
RS;SANTO ANTONIO DA PATRULHA;8855;4317608
RS;SANTO ANTONIO DAS MISSOES;8857;4317707
RS;SANTO ANTONIO DO PALMA;5941;4317558
RS;SANTO ANTONIO DO PLANALTO;5957;4317756
RS;SANTO AUGUSTO;8859;4317806
RS;SANTO CRISTO;8861;4317905
RS;SANTO EXPEDITO DO SUL;5977;4317954
RS;SAO BORJA;8863;4318002
RS;SAO DOMINGOS DO SUL;7351;4318051
RS;SAO FRANCISCO DE ASSIS;8865;4318101
RS;SAO FRANCISCO DE PAULA;8867;4318200
RS;SAO GABRIEL;8869;4318309
RS;SAO JERONIMO;8871;4318408
RS;SAO JOAO DA URTIGA;7349;4318424
RS;SAO JOAO DO POLESINE;5791;4318432
RS;SAO JORGE;7347;4318440
RS;SAO JOSE DAS MISSOES;5989;4318457
RS;SAO JOSE DO HERVAL;7345;4318465
RS;SAO JOSE DO HORTENCIO;7343;4318481
RS;SAO JOSE DO INHACORA;6059;4318499
RS;SAO JOSE DO NORTE;8873;4318507
RS;SAO JOSE DO OURO;8875;4318606
RS;SAO JOSE DO SUL;1170;4318614
RS;SAO JOSE DOS AUSENTES;6015;4318622
RS;SAO LEOPOLDO;8877;4318705
RS;SAO LOURENCO DO SUL;8879;4318804
RS;SAO LUIZ GONZAGA;8881;4318903
RS;SAO MARCOS;8883;4319000
RS;SAO MARTINHO;8885;4319109
RS;SAO MARTINHO DA SERRA;5793;4319125
RS;SAO MIGUEL DAS MISSOES;7341;4319158
RS;SAO NICOLAU;8887;4319208
RS;SAO PAULO DAS MISSOES;8889;4319307
RS;SAO PEDRO DA SERRA;6043;4319356
RS;SAO PEDRO DAS MISSOES;1172;4319364
RS;SAO PEDRO DO BUTIA;6063;4319372
RS;SAO PEDRO DO SUL;8891;4319406
RS;SAO SEBASTIAO DO CAI;8893;4319505
RS;SAO SEPE;8895;4319604
RS;SAO VALENTIM;8897;4319703
RS;SAO VALENTIM DO SUL;5997;4319711
RS;SAO VALERIO DO SUL;6075;4319737
RS;SAO VENDELINO;7293;4319752
RS;SAO VICENTE DO SUL;8675;4319802
RS;SAPIRANGA;8899;4319901
RS;SAPUCAIA DO SUL;8901;4320008
RS;SARANDI;8903;4320107
RS;SEBERI;8905;4320206
RS;SEDE NOVA;7335;4320230
RS;SEGREDO;7317;4320263
RS;SELBACH;8907;4320305
RS;SENADOR SALGADO FILHO;1012;4320321
RS;SENTINELA DO SUL;5781;4320354
RS;SERAFINA CORREA;8909;4320404
RS;SERIO;6035;4320453
RS;SERTAO;8911;4320503
RS;SERTAO SANTANA;5761;4320552
RS;SETE DE SETEMBRO;1014;4320578
RS;SEVERIANO DE ALMEIDA;8913;4320602
RS;SILVEIRA MARTINS;7315;4320651
RS;SINIMBU;5767;4320677
RS;SOBRADINHO;8917;4320701
RS;SOLEDADE;8919;4320800
RS;TABAI;1016;4320859
RS;TAPEJARA;8921;4320909
RS;TAPERA;8923;4321006
RS;TAPES;8925;4321105
RS;TAQUARA;8927;4321204
RS;TAQUARI;8929;4321303
RS;TAQUARUCU DO SUL;7313;4321329
RS;TAVARES;8971;4321352
RS;TENENTE PORTELA;8931;4321402
RS;TERRA DE AREIA;7333;4321436
RS;TEUTONIA;9821;4321451
RS;TIO HUGO;1174;4321469
RS;TIRADENTES DO SUL;6077;4321477
RS;TOROPI;1018;4321493
RS;TORRES;8933;4321501
RS;TRAMANDAI;8935;4321600
RS;TRAVESSEIRO;6037;4321626
RS;TRES ARROIOS;7331;4321634
RS;TRES CACHOEIRAS;7329;4321667
RS;TRES COROAS;8937;4321709
RS;TRES DE MAIO;8939;4321808
RS;TRES FORQUILHAS;5777;4321832
RS;TRES PALMEIRAS;7327;4321857
RS;TRES PASSOS;8941;4321907
RS;TRINDADE DO SUL;7325;4321956
RS;TRIUNFO;8943;4322004
RS;TUCUNDUVA;8945;4322103
RS;TUNAS;7323;4322152
RS;TUPANCI DO SUL;5979;4322186
RS;TUPANCIRETA;8947;4322202
RS;TUPANDI;7321;4322251
RS;TUPARENDI;8949;4322301
RS;TURUCU;1020;4322327
RS;UBIRETAMA;1022;4322343
RS;UNIAO DA SERRA;5999;4322350
RS;UNISTALDA;1024;4322376
RS;URUGUAIANA;8951;4322400
RS;VACARIA;8953;4322509
RS;VALE DO SOL;5769;4322533
RS;VALE REAL;6049;4322541
RS;VALE VERDE;1026;4322525
RS;VANINI;7319;4322558
RS;VENANCIO AIRES;8955;4322608
RS;VERA CRUZ;8957;4322707
RS;VERANOPOLIS;8959;4322806
RS;VESPASIANO CORREA;1028;4322855
RS;VIADUTOS;8961;4322905
RS;VIAMAO;8963;4323002
RS;VICENTE DUTRA;8965;4323101
RS;VICTOR GRAEFF;8969;4323200
RS;VILA FLORES;7311;4323309
RS;VILA LANGARO;1030;4323358
RS;VILA MARIA;7309;4323408
RS;VILA NOVA DO SUL;5795;4323457
RS;VISTA ALEGRE;7307;4323507
RS;VISTA ALEGRE DO PRATA;7305;4323606
RS;VISTA GAUCHA;7303;4323705
RS;VITORIA DAS MISSOES;6053;4323754
RS;WESTFALIA;1176;4323770
RS;XANGRI-LA;5785;4323804
