"","mesorregiao","log_emp_mulher","crimes_patrim","crimes_contra_pessoa","escolarid_trab","pib_per_capta","empregos_formais","infra_agua","infra_esgoto","infra_internet","infra_energia","st_agro","st_ind","st_serv","trafico","contrav_penais","eq_orc_mun","rec_proprios","ideb_quinto_ano","ideb_nono_ano","crimes_sex","remun_mediana","sebrae","msau39","mppm01","mppm11","mppm13","mppm20","mppm23"
"162","centro goiano",2.35172779971706,7.65,5.97,8.65,0.5,1.62,6.48,7.13,2.92,4.72,0.59,0.04,0.06,7.65,5.65,2.72,3.77,6,5.3,7.8,0.63,"Não","Sim","Sim","Não","Sim","Não","Sim"
"163","Sul goiano",2.17170243338347,8.99,8.2,0.57,1.81,2.12,4.43,0,2.16,3.31,0.79,0.08,0.01,9.57,8.31,3.23,3.49,6.6,5.1,9.3,2.39,"Não","Sim","Não","Não","Não","Não","Não"
"164","centro goiano",2.2446790954166,7.76,8.69,4.82,0.48,1.46,5.83,6.31,2.85,3.58,0.12,0.03,0.02,9.01,8.58,1.99,3.92,7.6,5.2,9.46,1.03,"Não","Sim","Não","Não","Não","Não","Não"
"165","centro goiano",1.72878467006667,8.57,7.36,4.95,1.77,2,5.18,0,1.56,3.35,0.26,0.04,0,10,6.17,1.68,1.18,6.3,5.5,6.19,2.33,"Não","Sim","Não","Não","Não","Não","Não"
"166","centro goiano",2.32749598337353,8.12,8.63,5.49,0.54,1.67,7.61,0,2.17,4.82,0.12,0,0,8.02,8.04,4.05,0.61,6,5.9,10,0.96,"Não","Sim","Não","Não","Não","Não","Não"
"167","centro goiano",1.9748380692637,8.45,8.14,5.95,0.22,1.16,6.71,0,0.29,4.61,0.04,0,0,10,8.81,4.19,1.51,6.5,6.2,8.02,0.26,"Não","Sim","Não","Não","Não","Não","Não"
"168","Sul goiano",2.33444025923526,8.22,8.15,4.75,1.49,1.35,6.73,7.87,3.01,4.66,0.59,0.02,0.03,9.2,8.55,3.83,2.44,6.2,5.7,6.73,2.82,"Não","Não","Não","Não","Não","Não","Não"
"169","Sul goiano",2.56684003255069,7.61,4.94,5.4,1.32,2.62,9.44,9.72,4.86,5.38,0.1,0,0,10,6.02,4.1,1.1,7.3,5.7,6.7,2.72,"Não","Sim","Não","Não","Não","Não","Não"
"170","centro goiano",2.15899905418048,6.31,7.61,1.52,1.16,2.84,4.28,0,1.51,3.12,0.77,0.02,0.01,9.64,7.13,3.53,2.67,5.2,5.2,8.21,2.12,"Não","Sim","Não","Não","Não","Não","Não"
"171","Sul goiano",2.40996785403264,6.98,5.63,4.62,1.11,1.47,6.77,0,1.64,4.68,0.22,0,0,5.11,7.18,4.65,0.68,6,4.9,5.99,1.52,"Não","Sim","Não","Não","Não","Não","Não"
"172","leste goiano",2.04534209292041,9.19,7.03,6.5,0.14,0.79,4.32,0,0.37,2.83,0.02,0.01,0.01,10,8.21,4.47,1.03,5.1,4.9,8.22,1.34,"Não","Sim","Não","Não","Não","Não","Não"
"173","norte goiano",2.71730340658269,7.26,6.25,6.13,0.69,1.48,6.61,4.99,3.65,4.27,0.35,0.02,0.02,9.13,6.56,3.84,1.26,5.8,5.6,7.62,1.19,"Não","Sim","Não","Não","Não","Não","Não"
"174","Sul goiano",2.38923289971972,8.85,7.06,3.46,0.68,1.86,8.29,0,2.35,5.5,0.05,0,0,7.32,9.56,2.57,0.37,6.5,6.1,1.21,1.46,"Não","Sim","Não","Não","Não","Não","Não"
"175","noroeste goiano",2.21062687163543,9.09,7.53,2.88,1.01,1.87,3.46,0.02,1.23,3.51,0.31,0.01,0.01,8.68,7.38,3.72,1.95,5.2,5.1,7.83,1.86,"Não","Não","Não","Não","Não","Não","Não"
"176","Sul goiano",2.40994600939896,7.77,6.95,3.46,0.48,1.14,5.21,0,2.74,3.65,0.48,0.02,0.02,8.66,6.24,3,0.94,6.3,5.1,8.53,2.92,"Não","Sim","Não","Não","Não","Não","Não"
"177","leste goiano",1.78546354077124,8.59,9.02,2.69,0.55,2.13,3.44,4.22,0.18,2.28,0.15,0,0,10,9.64,4.02,1.62,4.8,3.7,6.39,1.73,"Não","Sim","Não","Não","Não","Não","Não"
"178","centro goiano",2.58035477014017,8.99,7.54,5.89,0.92,2.23,6.99,0,3.3,2.7,0.12,0,0,10,7.65,4.13,0.32,0,6.3,7.08,2,"Não","Sim","Não","Não","Não","Não","Não"
"179","norte goiano",1.69062214441454,8.74,7.57,5.54,0.16,0.74,2.33,0,0.49,1.35,0.22,0,0,7.89,8.26,4.11,0.53,4.6,4.3,6.53,0.81,"Não","Sim","Não","Não","Não","Não","Não"
"180","noroeste goiano",2.49897016635805,6.62,4.42,3.05,1.94,2.61,6.08,2.64,3.44,4.37,1.14,0.02,0.03,8.92,0.47,4.15,3.06,6,5.5,7.04,2.74,"Não","Sim","Não","Não","Não","Não","Não"
"181","Sul goiano",2.52238777454074,8,6.32,3.04,3.66,2.55,5.14,3.44,1.8,3.68,3.02,0.07,0.07,9.29,7.41,3.11,2.57,6.1,4.6,5.31,3.6,"Não","Sim","Não","Não","Não","Não","Não"
"182","norte goiano",1.59757671717664,9.08,8.26,3.81,0.46,1.02,2.44,0,2.03,0.96,0.18,0,0,10,8.23,3.96,0.1,5.4,5,4.5,1.8,"Não","Sim","Não","Não","Não","Não","Não"
"183","centro goiano",1.78128816936076,9.4,7.64,7.75,0.55,1.55,7.46,0,1.19,4.78,0.09,0,0,10,7.92,4.15,1.35,6,5.2,1.71,1.86,"Não","Sim","Não","Não","Não","Não","Não"
"184","centro goiano",2.23786167770785,7.42,5.8,6.94,0.64,1.87,3.77,0.05,2.48,4.51,0.25,0.01,0,8.74,7.3,3.79,2.78,7.1,6.1,4.83,0.72,"Não","Sim","Não","Não","Não","Não","Não"
"185","noroeste goiano",2.13503105978576,6.67,6.16,7.45,1.65,3.18,3.84,0,2.74,4.54,0.37,0.22,0.05,6.84,5.12,4.25,1.96,5.6,4.9,8.38,2.12,"Não","Sim","Não","Não","Não","Não","Sim"
"186","noroeste goiano",2.37985387378486,8.22,6.78,4.22,0.76,2.1,4.75,0,2.24,3.53,0.36,0.01,0.01,9.48,6.39,3.97,0.29,5.8,4.6,7.43,2.07,"Não","Sim","Não","Não","Não","Não","Sim"
"187","norte goiano",2.06396864637659,8.3,5.61,2.06,0.54,1.07,5.36,0,1.32,3.85,0.18,0,0,10,5.48,4.09,2.04,6.1,5.5,8.75,2.47,"Não","Sim","Não","Não","Não","Não","Não"
"188","centro goiano",2.23385369359644,6.82,6.6,4.47,0.83,2.05,7.57,0,3.1,4.12,0.19,0.06,0.02,9.33,6.89,3.49,2.03,6.1,4.3,7.78,2.41,"Não","Sim","Não","Não","Não","Não","Não"
"189","centro goiano",2.55080072185759,6.41,6.53,6.77,1.12,3.1,5.35,0,2.96,5.17,0.15,0.25,0.09,7.99,7.07,3.94,4.23,5.8,5.1,7.39,1.45,"Não","Sim","Não","Não","Não","Não","Não"
"190","Sul goiano",2.09992385196297,8.84,7.47,5.3,1.03,1.53,7.13,0,6.27,5.04,0.09,0.02,0,7.3,6.44,4.1,0.35,6.8,5.1,7.78,1.58,"Não","Sim","Não","Não","Não","Não","Não"
"191","noroeste goiano",2.29320301316076,7.56,5.44,2.52,1.54,2.74,5.17,0,2.47,3.35,1.48,0.02,0.03,8.84,5.17,4.91,2.43,5.1,4.4,6.56,2.89,"Não","Não","Não","Não","Não","Não","Não"
"192","centro goiano",1.96407411968298,7.83,6.03,7.68,0.47,0.87,5.1,0,2.6,5.15,0.32,0.01,0.01,8.95,4.14,4.26,0.39,6.2,4.9,6.57,0.85,"Não","Sim","Não","Não","Não","Não","Não"
"193","norte goiano",2.00471414006964,8.33,8.86,5.02,0.32,0.95,6.51,0,0.82,3.93,0.09,0,0,10,9.67,4.03,0.14,6.3,5.3,8.35,0.48,"Não","Sim","Não","Não","Não","Não","Não"
"194","norte goiano",1.7528135190934,9.67,8.81,0.47,0.41,0.95,4.24,0.02,0.67,3.11,0.13,0,0,10,6.58,4.11,1.29,5.2,4.6,7.16,1.92,"Não","Sim","Não","Não","Não","Não","Não"
"195","centro goiano",2.47143984094091,7.99,8.06,4.05,0.71,2.33,4.87,0,2.72,4.4,0.1,0.08,0.02,6.82,8.11,2.92,3.43,5.8,5.5,9.48,1.72,"Não","Sim","Não","Não","Não","Não","Não"
"196","centro goiano",2.42512394518696,8.83,7.03,4.42,0.74,2.09,7.85,0,2.3,4.61,0.2,0,0,9.09,8.8,3.79,1.8,6.2,5.1,8.5,0,"Não","Sim","Não","Não","Não","Não","Não"
"197","Sul goiano",2.12258965960299,7.37,7.82,5.07,1.6,2.48,4.49,0,3.66,3.18,1.52,0.06,0.05,8.46,7.01,3.97,1.49,6.6,5.6,6.84,1.4,"Não","Sim","Não","Não","Não","Não","Não"
"198","centro goiano",1.77012029412457,7.41,5.56,1.57,1.03,1.34,5.2,0,1.02,3.55,0.35,0.01,0,8.51,6.55,3.96,2.08,6.2,5.4,10,1.75,"Não","Sim","Não","Não","Não","Não","Não"
"199","Sul goiano",2.425388990253,7.4,8.16,9.09,6.27,3.76,7.56,0,3.57,6.28,0.11,0.54,0.04,2.93,8.44,3.5,5.79,6.9,5.3,7.68,10,"Não","Sim","Não","Não","Não","Não","Não"
"200","leste goiano",2.02569726567315,6.32,8.05,4.95,0.58,1.19,2.03,3.35,0.86,1.43,1.22,0.05,0.06,8.42,8.96,4.07,2.59,5,4.6,8.17,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"201","Sul goiano",1.50582892981508,9.15,8.97,2.5,1.49,1.24,4.19,0,0.29,2.97,0.43,0.01,0,9.15,9.72,2.98,0.85,6,5,8.61,2.79,"Não","Sim","Não","Não","Não","Não","Não"
"202","Sul goiano",2.32217369637224,5.01,4.27,5.05,1.65,3.42,6.18,7.85,3.22,5.11,0.81,0.4,0.09,6.28,5.56,3.27,3.92,6.2,5,6.22,1.69,"Não","Sim","Não","Não","Não","Não","Não"
"203","Sul goiano",2.55867280002761,6.56,6.21,8.89,0.34,1.93,8.17,0,1.95,5.4,0.04,0,0,7.55,8.38,4.02,0.03,6.1,5.1,7.98,1.46,"Não","Sim","Não","Não","Não","Não","Não"
"204","Sul goiano",2.3557598554813,6.98,7.15,3.95,1.61,2.29,4.09,0.02,1.88,4.51,0.33,0.01,0,8.9,7.47,4.14,0.56,5.8,4.9,8.2,1.82,"Não","Não","Não","Não","Não","Não","Não"
"205","Sul goiano",2.03159789911444,8.8,7.9,2.24,0.77,1.27,4.98,6.64,6.43,4.75,0.55,0.01,0.02,9.1,6.93,2.88,3.22,7,5.7,9.01,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"206","Sul goiano",2.64848876286101,6.95,6.06,2.06,4.62,3.86,6.53,7.76,2.15,4.33,3.06,0.23,0.06,8.67,2.39,4.16,3.43,6.1,4.9,6.95,2.07,"Não","Sim","Não","Não","Não","Não","Sim"
"207","centro goiano",2.26441936474181,8.16,7.23,4.38,0.37,1.02,4.33,0,1.99,2.98,0.23,0.01,0.02,9.72,7.49,4.06,4.02,6,4.4,6.3,0.77,"Não","Sim","Não","Não","Não","Não","Não"
"208","centro goiano",2.1740340303681,8.17,8.57,6.92,3.76,5.3,3.21,0,1.62,2.04,0.2,0.11,0.01,7.66,7.69,4.12,4.64,5.5,4.9,6.16,4.64,"Não","Sim","Não","Não","Não","Não","Não"
"209","leste goiano",2.33378177862737,4.72,7.19,8.91,0.24,0.98,7.07,3.87,3.9,5.22,0.56,0.13,0.14,7.55,8.31,2.65,2.52,5.2,4.2,5.43,2.33,"Não","Sim","Não","Não","Não","Não","Não"
"210","Sul goiano",2.17806154072382,8.6,8.32,0,3.1,2.63,5.86,0,4.07,4.1,0.59,0.02,0.03,8.53,7.33,4.11,0.95,5.1,5.4,10,3.24,"Não","Sim","Não","Não","Não","Não","Sim"
"211","Sul goiano",2.15740308314955,4.78,6.13,7.85,0.53,1.4,6.24,0,4.73,4.25,0.1,0,0,6.34,8.49,3.76,0.61,6.6,6.2,6.99,1.58,"Não","Sim","Sim","Não","Não","Não","Não"
"212","centro goiano",2.63065522635111,6.68,5.18,7.85,0.7,1.89,7.63,0,4.81,5.33,0.11,0.03,0.03,8.38,7.42,4.58,0.83,6.4,5.4,0.7,1.37,"Não","Sim","Não","Não","Não","Não","Não"
"213","centro goiano",2.11281273004423,6.77,6.34,5.58,0.8,1.69,7,0,2.84,4.47,0.06,0.02,0.01,8.15,6.34,4.94,0.82,6.8,5.7,4.94,2.1,"Não","Sim","Não","Não","Não","Não","Não"
"214","Sul goiano",2.68020617493104,4.79,6.64,5.12,4.31,10,3.77,0.85,4.25,10,0.07,0.03,0.06,8.55,8.8,3.47,6.64,5.4,5.1,7.62,2.04,"Não","Sim","Não","Não","Não","Não","Não"
"215","centro goiano",2.52977912499795,8.48,7.98,6.99,0.64,2.36,7.97,5.18,2.78,5,0.16,0.01,0.02,9.24,7.11,1.8,2.95,7,5.7,7.5,0.13,"Não","Sim","Não","Não","Não","Não","Não"
"216","centro goiano",2.89019785997381,6.98,6.47,6.33,0.52,1.91,6.17,0,3.02,4.85,0.11,0.03,0.01,2.53,7.54,3.72,2.17,6.9,5,5.4,1.18,"Não","Não","Não","Não","Não","Não","Não"
"217","noroeste goiano",2.0514644819441,8.37,7.4,1.51,2.26,4.67,5.87,0,4.53,4.03,0.28,0.11,0.02,9.44,7.78,3.27,2.43,6.7,4.9,9.08,3.06,"Não","Sim","Não","Não","Não","Não","Não"
"218","centro goiano",1.99611510667663,8.5,7.49,3.1,0.87,1.24,5.24,0,0.88,3.47,0.31,0,0,10,8.98,3.39,2.94,6.3,6,8.73,1.29,"Não","Sim","Não","Não","Não","Não","Não"
"219","centro goiano",1.81169717058139,8.52,7.84,2.02,0.93,2.42,1.57,0.09,1.67,0.78,0.29,0,0,10,9.71,4.13,0.65,7,5.7,10,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"220","norte goiano",2.51013233856998,8.1,7.28,5.11,0.53,1.59,7.34,0,2.64,4.81,0.13,0,0,9.2,5.26,4.34,0.33,6.1,5.5,6.07,1.59,"Não","Sim","Não","Não","Não","Não","Não"
"221","norte goiano",2.24622795441796,8.7,5.77,2.35,0.41,0.94,3.55,0,1.86,4.22,0.19,0.01,0.02,9.08,6.96,3.72,2.21,5.9,5.4,9.49,0.8,"Não","Sim","Não","Não","Não","Não","Não"
"222","Sul goiano",2.35986479981734,8.01,7.11,1.76,2.11,3.13,4.99,0,3.44,3.55,0.41,0.1,0.01,8.75,7.94,3.54,1.83,6.4,5.1,6.93,4.13,"Não","Sim","Não","Não","Não","Não","Sim"
"223","leste goiano",2.20554068340324,8.21,6.55,5.15,0.31,0.64,2.57,0,0.47,1.52,0.24,0.04,0.01,8.58,6.87,4.3,2.95,5.4,5.3,4.16,1.72,"Não","Sim","Não","Não","Não","Não","Não"
"224","centro goiano",2.27556748567426,7.93,7.91,5.98,0.51,1.89,6.1,0,1.44,3.96,0.13,0.01,0.01,9.07,7.53,4.03,1.96,7,6,9.23,1.04,"Não","Sim","Não","Não","Não","Não","Não"
"225","Sul goiano",2.48376444520922,7.73,7.36,4.57,1.59,2.03,8.73,9.67,3.34,5.93,0.18,0,0,6.18,3.69,4.11,0.38,6.4,5,3.72,1.42,"Não","Sim","Não","Não","Não","Não","Não"
"226","norte goiano",2.1841501504871,7.42,6.74,3.13,1.11,1.45,3.34,0,1.42,2.2,1.06,0.02,0.02,6.92,7.97,3.41,1.29,4.7,4.9,8.44,1.74,"Não","Sim","Não","Não","Não","Não","Sim"
"227","centro goiano",2.21826403476532,7.06,6.61,8.83,0.75,1.44,3.43,0,1.1,4.51,0.2,0.01,0.01,9.41,7.87,2.8,2.16,6.3,4.9,9.03,1.66,"Não","Sim","Não","Não","Não","Não","Não"
"228","noroeste goiano",2.10479461992248,6.87,5.92,4.12,1.07,1.64,4.78,2.3,2.82,4.45,1.02,0.04,0.08,8.82,6.37,2.92,3.59,6.4,5.3,4.41,2.51,"Não","Sim","Não","Não","Não","Não","Sim"
"229","centro goiano",1.57921736979122,8.63,9.18,1.1,0.69,7.96,4.83,0,1.01,3.33,0.11,0,0,10,7.63,3.42,1.93,6.4,5.6,7.64,5.13,"Não","Sim","Não","Não","Não","Não","Não"
"230","centro goiano",2.30265182119897,3.71,6.69,5.83,1.82,2.3,3.33,0.06,6.36,5.96,0.07,1.73,0.47,7.33,8.82,3.2,3.79,5.6,4.2,7.34,2.09,"Não","Sim","Sim","Não","Sim","Não","Sim"
"231","Sul goiano",2.17271894576782,7.87,6.79,2.51,3.17,3.5,5.65,0,1.93,3.71,1.44,0.14,0.03,7.85,4.09,4.08,3.51,5.5,6,6.47,2.95,"Não","Sim","Não","Não","Não","Não","Não"
"232","leste goiano",2.2056951340302,8.11,4.87,8.19,0.41,1.14,5.14,0,1.11,3.32,0.06,0.01,0.01,7.41,4.3,3.72,2.27,5,5,9.29,1.12,"Não","Sim","Não","Não","Não","Não","Não"
"233","leste goiano",1.07239644653722,9.34,7.98,4.03,0.34,1.23,1.67,0,0.08,0.89,0.12,0,0,10,9.67,4.02,1.53,5.5,5.3,6.74,0.81,"Não","Sim","Não","Não","Não","Não","Não"
"234","centro goiano",2.5552874465498,6.61,7.33,5.39,0.58,2.18,8.06,0,3.36,5.84,0.13,0.01,0,10,7.03,3.32,2.11,6,5.6,7.31,0.42,"Não","Sim","Não","Não","Não","Não","Não"
"235","norte goiano",1.97445318828905,7.51,6.54,5.64,0.1,1.23,4.2,0,1.71,2.36,0.02,0,0,10,7.95,4.07,0.32,4.8,5,5.63,0.62,"Não","Sim","Não","Não","Não","Não","Não"
"236","centro goiano",2.38152399241743,3.63,4.17,7.54,1.2,1.81,5.39,5.49,3.63,4.73,0.05,0.05,0.03,6.87,8.06,3.57,1.32,5.4,4.5,4.85,1.79,"Não","Sim","Não","Não","Não","Não","Não"
"237","norte goiano",1.7900536079639,8.65,7.9,3.88,0.37,1.28,2.83,0,3,3.08,0.13,0,0,9.17,9.45,4.27,0.34,5.4,5.2,8.63,0.19,"Não","Sim","Não","Não","Não","Não","Não"
"238","Sul goiano",2.51309689740235,8.28,7.59,0.46,5.26,7.45,5.21,0,1.2,3.67,1.05,0.27,0.02,10,6.1,4.43,2.22,5.7,4.8,7.08,4.76,"Não","Sim","Não","Não","Não","Não","Não"
"239","noroeste goiano",1.91071407698304,9.33,9.51,5.86,0.52,1.38,4.95,0,1.42,2.22,0.14,0,0,10,9.34,2.02,0.18,5.3,4.8,8.35,2.14,"Não","Sim","Não","Não","Não","Não","Não"
"240","centro goiano",2.0100223489884,7.17,7.58,3.9,0.49,0.65,6.32,0.28,1.78,4.59,0.42,0.01,0.03,8.74,7.79,1.76,2.38,6.5,5.6,7.94,1.65,"Não","Sim","Não","Não","Não","Não","Sim"
"241","Sul goiano",2.34041283738501,6.19,5.4,7.7,1.36,3.98,8.17,0,4.82,5.62,0.36,0,0,8.11,1.29,4.08,1.7,6.5,5.3,8.45,3.02,"Não","Sim","Não","Não","Não","Não","Não"
"242","Sul goiano",1.95714418639007,7.17,6.67,1.8,0.54,1.44,5.26,0,1.36,3.76,0.17,0,0,9.23,8.47,3.47,2.16,5.3,5,6.2,1.72,"Não","Sim","Não","Não","Não","Não","Não"
"243","Sul goiano",2.30912819158298,8.22,7.72,2.18,2.42,3.28,4.38,0.01,1.57,4.26,1.16,0.06,0.03,8.22,9.41,3.28,3.19,6.7,5.8,10,4.39,"Não","Sim","Não","Não","Não","Não","Não"
"244","leste goiano",1.86745679306232,7.67,5.84,0.07,1.14,2,3.97,0,0.96,2.26,0.38,0.02,0.01,8.43,7.07,4.09,1.89,5,4.1,8.28,1.18,"Não","Sim","Não","Não","Não","Não","Não"
